#,Image URL,Name,Subtitle,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
0026,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu-alolan.png,Raichu,Alolan Raichu,"['Electric', 'Psychic']",485,60,85,50,95,85,110
0027,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew.png,Sandshrew,,['Ground'],300,50,75,85,20,30,40
0027,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew-alolan.png,Sandshrew,Alolan Sandshrew,"['Ice', 'Steel']",300,50,75,90,10,35,40
0028,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash.png,Sandslash,,['Ground'],450,75,100,110,45,55,65
0028,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash-alolan.png,Sandslash,Alolan Sandslash,"['Ice', 'Steel']",450,75,100,120,25,65,65
0029,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-f.png,Nidoran♀,,['Poison'],275,55,47,52,40,40,41
0030,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorina.png,Nidorina,,['Poison'],365,70,62,67,55,55,56
0031,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoqueen.png,Nidoqueen,,"['Poison', 'Ground']",505,90,92,87,75,85,76
0032,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-m.png,Nidoran♂,,['Poison'],273,46,57,40,40,40,50
0033,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorino.png,Nidorino,,['Poison'],365,61,72,57,55,55,65
0034,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoking.png,Nidoking,,"['Poison', 'Ground']",505,81,102,77,85,75,85
0035,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefairy.png,Clefairy,,['Fairy'],323,70,45,48,60,65,35
0036,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefable.png,Clefable,,['Fairy'],483,95,70,73,95,90,60
0037,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix.png,Vulpix,,['Fire'],299,38,41,40,50,65,65
0037,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix-alolan.png,Vulpix,Alolan Vulpix,['Ice'],299,38,41,40,50,65,65
0038,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales.png,Ninetales,,['Fire'],505,73,76,75,81,100,100
0038,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales-alolan.png,Ninetales,Alolan Ninetales,"['Ice', 'Fairy']",505,73,67,75,81,100,109
0039,https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png,Jigglypuff,,"['Normal', 'Fairy']",270,115,45,20,45,25,20
0040,https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png,Wigglytuff,,"['Normal', 'Fairy']",435,140,70,45,85,50,45
0041,https://img.pokemondb.net/sprites/scarlet-violet/icon/zubat.png,Zubat,,"['Poison', 'Flying']",245,40,45,35,30,40,55
0042,https://img.pokemondb.net/sprites/scarlet-violet/icon/golbat.png,Golbat,,"['Poison', 'Flying']",455,75,80,70,65,75,90
0043,https://img.pokemondb.net/sprites/scarlet-violet/icon/oddish.png,Oddish,,"['Grass', 'Poison']",320,45,50,55,75,65,30
0044,https://img.pokemondb.net/sprites/scarlet-violet/icon/gloom.png,Gloom,,"['Grass', 'Poison']",395,60,65,70,85,75,40
0045,https://img.pokemondb.net/sprites/scarlet-violet/icon/vileplume.png,Vileplume,,"['Grass', 'Poison']",490,75,80,85,110,90,50
0046,https://img.pokemondb.net/sprites/scarlet-violet/icon/paras.png,Paras,,"['Bug', 'Grass']",285,35,70,55,45,55,25
0047,https://img.pokemondb.net/sprites/scarlet-violet/icon/parasect.png,Parasect,,"['Bug', 'Grass']",405,60,95,80,60,80,30
0048,https://img.pokemondb.net/sprites/scarlet-violet/icon/venonat.png,Venonat,,"['Bug', 'Poison']",305,60,55,50,40,55,45
0049,https://img.pokemondb.net/sprites/scarlet-violet/icon/venomoth.png,Venomoth,,"['Bug', 'Poison']",450,70,65,60,90,75,90
0050,https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett.png,Diglett,,['Ground'],265,10,55,25,35,45,95
0050,https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett-alolan.png,Diglett,Alolan Diglett,"['Ground', 'Steel']",265,10,55,30,35,45,90
0051,https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio.png,Dugtrio,,['Ground'],425,35,100,50,50,70,120
0051,https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio-alolan.png,Dugtrio,Alolan Dugtrio,"['Ground', 'Steel']",425,35,100,60,50,70,110
0052,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth.png,Meowth,,['Normal'],290,40,45,35,40,40,90
0052,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-alolan.png,Meowth,Alolan Meowth,['Dark'],290,40,35,35,50,40,90
0052,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth-galarian.png,Meowth,Galarian Meowth,['Steel'],290,50,65,55,40,40,40
0053,https://img.pokemondb.net/sprites/scarlet-violet/icon/persian.png,Persian,,['Normal'],440,65,70,60,65,65,115
0053,https://img.pokemondb.net/sprites/scarlet-violet/icon/persian-alolan.png,Persian,Alolan Persian,['Dark'],440,65,60,60,75,65,115
0054,https://img.pokemondb.net/sprites/scarlet-violet/icon/psyduck.png,Psyduck,,['Water'],320,50,52,48,65,50,55
0055,https://img.pokemondb.net/sprites/scarlet-violet/icon/golduck.png,Golduck,,['Water'],500,80,82,78,95,80,85
0056,https://img.pokemondb.net/sprites/scarlet-violet/icon/mankey.png,Mankey,,['Fighting'],305,40,80,35,35,45,70
0057,https://img.pokemondb.net/sprites/scarlet-violet/icon/primeape.png,Primeape,,['Fighting'],455,65,105,60,60,70,95
0058,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe.png,Growlithe,,['Fire'],350,55,70,45,70,50,60
0058,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe-hisuian.png,Growlithe,Hisuian Growlithe,"['Fire', 'Rock']",350,60,75,45,65,50,55
0059,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine.png,Arcanine,,['Fire'],555,90,110,80,100,80,95
0059,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine-hisuian.png,Arcanine,Hisuian Arcanine,"['Fire', 'Rock']",555,95,115,80,95,80,90
0060,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwag.png,Poliwag,,['Water'],300,40,50,40,40,40,90
0061,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwhirl.png,Poliwhirl,,['Water'],385,65,65,65,50,50,90
0062,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwrath.png,Poliwrath,,"['Water', 'Fighting']",510,90,95,95,70,90,70
0063,https://img.pokemondb.net/sprites/scarlet-violet/icon/abra.png,Abra,,['Psychic'],310,25,20,15,105,55,90
0064,https://img.pokemondb.net/sprites/scarlet-violet/icon/kadabra.png,Kadabra,,['Psychic'],400,40,35,30,120,70,105
0065,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam.png,Alakazam,,['Psychic'],500,55,50,45,135,95,120
0065,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam-mega.png,Alakazam,Mega Alakazam,['Psychic'],600,55,50,65,175,105,150
0066,https://img.pokemondb.net/sprites/scarlet-violet/icon/machop.png,Machop,,['Fighting'],305,70,80,50,35,35,35
0067,https://img.pokemondb.net/sprites/scarlet-violet/icon/machoke.png,Machoke,,['Fighting'],405,80,100,70,50,60,45
0068,https://img.pokemondb.net/sprites/scarlet-violet/icon/machamp.png,Machamp,,['Fighting'],505,90,130,80,65,85,55
0069,https://img.pokemondb.net/sprites/scarlet-violet/icon/bellsprout.png,Bellsprout,,"['Grass', 'Poison']",300,50,75,35,70,30,40
0070,https://img.pokemondb.net/sprites/scarlet-violet/icon/weepinbell.png,Weepinbell,,"['Grass', 'Poison']",390,65,90,50,85,45,55
0071,https://img.pokemondb.net/sprites/scarlet-violet/icon/victreebel.png,Victreebel,,"['Grass', 'Poison']",490,80,105,65,100,70,70
0072,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacool.png,Tentacool,,"['Water', 'Poison']",335,40,40,35,50,100,70
0073,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacruel.png,Tentacruel,,"['Water', 'Poison']",515,80,70,65,80,120,100
0074,https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude.png,Geodude,,"['Rock', 'Ground']",300,40,80,100,30,30,20
0074,https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude-alolan.png,Geodude,Alolan Geodude,"['Rock', 'Electric']",300,40,80,100,30,30,20
0075,https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler.png,Graveler,,"['Rock', 'Ground']",390,55,95,115,45,45,35
0075,https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler-alolan.png,Graveler,Alolan Graveler,"['Rock', 'Electric']",390,55,95,115,45,45,35
0076,https://img.pokemondb.net/sprites/scarlet-violet/icon/golem.png,Golem,,"['Rock', 'Ground']",495,80,120,130,55,65,45
0076,https://img.pokemondb.net/sprites/scarlet-violet/icon/golem-alolan.png,Golem,Alolan Golem,"['Rock', 'Electric']",495,80,120,130,55,65,45
0077,https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta.png,Ponyta,,['Fire'],410,50,85,55,65,65,90
0077,https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta-galarian.png,Ponyta,Galarian Ponyta,['Psychic'],410,50,85,55,65,65,90
0078,https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash.png,Rapidash,,['Fire'],500,65,100,70,80,80,105
0078,https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash-galarian.png,Rapidash,Galarian Rapidash,"['Psychic', 'Fairy']",500,65,100,70,80,80,105
0079,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke.png,Slowpoke,,"['Water', 'Psychic']",315,90,65,65,40,40,15
0079,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke-galarian.png,Slowpoke,Galarian Slowpoke,['Psychic'],315,90,65,65,40,40,15
0080,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro.png,Slowbro,,"['Water', 'Psychic']",490,95,75,110,100,80,30
0080,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-mega.png,Slowbro,Mega Slowbro,"['Water', 'Psychic']",590,95,75,180,130,80,30
0080,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro-galarian.png,Slowbro,Galarian Slowbro,"['Poison', 'Psychic']",490,95,100,95,100,70,30
0081,https://img.pokemondb.net/sprites/scarlet-violet/icon/magnemite.png,Magnemite,,"['Electric', 'Steel']",325,25,35,70,95,55,45
0082,https://img.pokemondb.net/sprites/scarlet-violet/icon/magneton.png,Magneton,,"['Electric', 'Steel']",465,50,60,95,120,70,70
0083,https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd.png,Farfetch'd,,"['Normal', 'Flying']",377,52,90,55,58,62,60
0083,https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd-galarian.png,Farfetch'd,Galarian Farfetch'd,['Fighting'],377,52,95,55,58,62,55
0084,https://img.pokemondb.net/sprites/scarlet-violet/icon/doduo.png,Doduo,,"['Normal', 'Flying']",310,35,85,45,35,35,75
0085,https://img.pokemondb.net/sprites/scarlet-violet/icon/dodrio.png,Dodrio,,"['Normal', 'Flying']",470,60,110,70,60,60,110
0086,https://img.pokemondb.net/sprites/scarlet-violet/icon/seel.png,Seel,,['Water'],325,65,45,55,45,70,45
0087,https://img.pokemondb.net/sprites/scarlet-violet/icon/dewgong.png,Dewgong,,"['Water', 'Ice']",475,90,70,80,70,95,70
0088,https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer.png,Grimer,,['Poison'],325,80,80,50,40,50,25
0088,https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer-alolan.png,Grimer,Alolan Grimer,"['Poison', 'Dark']",325,80,80,50,40,50,25
0089,https://img.pokemondb.net/sprites/scarlet-violet/icon/muk.png,Muk,,['Poison'],500,105,105,75,65,100,50
0089,https://img.pokemondb.net/sprites/scarlet-violet/icon/muk-alolan.png,Muk,Alolan Muk,"['Poison', 'Dark']",500,105,105,75,65,100,50
0090,https://img.pokemondb.net/sprites/scarlet-violet/icon/shellder.png,Shellder,,['Water'],305,30,65,100,45,25,40
0091,https://img.pokemondb.net/sprites/scarlet-violet/icon/cloyster.png,Cloyster,,"['Water', 'Ice']",525,50,95,180,85,45,70
0092,https://img.pokemondb.net/sprites/scarlet-violet/icon/gastly.png,Gastly,,"['Ghost', 'Poison']",310,30,35,30,100,35,80
0093,https://img.pokemondb.net/sprites/scarlet-violet/icon/haunter.png,Haunter,,"['Ghost', 'Poison']",405,45,50,45,115,55,95
0094,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar.png,Gengar,,"['Ghost', 'Poison']",500,60,65,60,130,75,110
0094,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar-mega.png,Gengar,Mega Gengar,"['Ghost', 'Poison']",600,60,65,80,170,95,130
0095,https://img.pokemondb.net/sprites/scarlet-violet/icon/onix.png,Onix,,"['Rock', 'Ground']",385,35,45,160,30,45,70
0096,https://img.pokemondb.net/sprites/scarlet-violet/icon/drowzee.png,Drowzee,,['Psychic'],328,60,48,45,43,90,42
0097,https://img.pokemondb.net/sprites/scarlet-violet/icon/hypno.png,Hypno,,['Psychic'],483,85,73,70,73,115,67
0098,https://img.pokemondb.net/sprites/scarlet-violet/icon/krabby.png,Krabby,,['Water'],325,30,105,90,25,25,50
0099,https://img.pokemondb.net/sprites/scarlet-violet/icon/kingler.png,Kingler,,['Water'],475,55,130,115,50,50,75
0100,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb.png,Voltorb,,['Electric'],330,40,30,50,55,55,100
0100,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb-hisuian.png,Voltorb,Hisuian Voltorb,"['Electric', 'Grass']",330,40,30,50,55,55,100
0101,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode.png,Electrode,,['Electric'],490,60,50,70,80,80,150
0101,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode-hisuian.png,Electrode,Hisuian Electrode,"['Electric', 'Grass']",490,60,50,70,80,80,150
0102,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggcute.png,Exeggcute,,"['Grass', 'Psychic']",325,60,40,80,60,45,40
0103,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor.png,Exeggutor,,"['Grass', 'Psychic']",530,95,95,85,125,75,55
0103,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor-alolan.png,Exeggutor,Alolan Exeggutor,"['Grass', 'Dragon']",530,95,105,85,125,75,45
0104,https://img.pokemondb.net/sprites/scarlet-violet/icon/cubone.png,Cubone,,['Ground'],320,50,50,95,40,50,35
0105,https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak.png,Marowak,,['Ground'],425,60,80,110,50,80,45
0105,https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak-alolan.png,Marowak,Alolan Marowak,"['Fire', 'Ghost']",425,60,80,110,50,80,45
0106,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonlee.png,Hitmonlee,,['Fighting'],455,50,120,53,35,110,87
0107,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonchan.png,Hitmonchan,,['Fighting'],455,50,105,79,35,110,76
0108,https://img.pokemondb.net/sprites/scarlet-violet/icon/lickitung.png,Lickitung,,['Normal'],385,90,55,75,60,75,30
0109,https://img.pokemondb.net/sprites/scarlet-violet/icon/koffing.png,Koffing,,['Poison'],340,40,65,95,60,45,35
0110,https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing.png,Weezing,,['Poison'],490,65,90,120,85,70,60
0110,https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing-galarian.png,Weezing,Galarian Weezing,"['Poison', 'Fairy']",490,65,90,120,85,70,60
0111,https://img.pokemondb.net/sprites/scarlet-violet/icon/rhyhorn.png,Rhyhorn,,"['Ground', 'Rock']",345,80,85,95,30,30,25
0112,https://img.pokemondb.net/sprites/scarlet-violet/icon/rhydon.png,Rhydon,,"['Ground', 'Rock']",485,105,130,120,45,45,40
0113,https://img.pokemondb.net/sprites/scarlet-violet/icon/chansey.png,Chansey,,['Normal'],450,250,5,5,35,105,50
0114,https://img.pokemondb.net/sprites/scarlet-violet/icon/tangela.png,Tangela,,['Grass'],435,65,55,115,100,40,60
0115,https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan.png,Kangaskhan,,['Normal'],490,105,95,80,40,80,90
0115,https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan-mega.png,Kangaskhan,Mega Kangaskhan,['Normal'],590,105,125,100,60,100,100
0116,https://img.pokemondb.net/sprites/scarlet-violet/icon/horsea.png,Horsea,,['Water'],295,30,40,70,70,25,60
0117,https://img.pokemondb.net/sprites/scarlet-violet/icon/seadra.png,Seadra,,['Water'],440,55,65,95,95,45,85
0118,https://img.pokemondb.net/sprites/scarlet-violet/icon/goldeen.png,Goldeen,,['Water'],320,45,67,60,35,50,63
0119,https://img.pokemondb.net/sprites/scarlet-violet/icon/seaking.png,Seaking,,['Water'],450,80,92,65,65,80,68
0120,https://img.pokemondb.net/sprites/scarlet-violet/icon/staryu.png,Staryu,,['Water'],340,30,45,55,70,55,85
0121,https://img.pokemondb.net/sprites/scarlet-violet/icon/starmie.png,Starmie,,"['Water', 'Psychic']",520,60,75,85,100,85,115
0122,https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime.png,Mr. Mime,,"['Psychic', 'Fairy']",460,40,45,65,100,120,90
0122,https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime-galarian.png,Mr. Mime,Galarian Mr. Mime,"['Ice', 'Psychic']",460,50,65,65,90,90,100
0123,https://img.pokemondb.net/sprites/scarlet-violet/icon/scyther.png,Scyther,,"['Bug', 'Flying']",500,70,110,80,55,80,105
0124,https://img.pokemondb.net/sprites/scarlet-violet/icon/jynx.png,Jynx,,"['Ice', 'Psychic']",455,65,50,35,115,95,95
0125,https://img.pokemondb.net/sprites/scarlet-violet/icon/electabuzz.png,Electabuzz,,['Electric'],490,65,83,57,95,85,105
0126,https://img.pokemondb.net/sprites/scarlet-violet/icon/magmar.png,Magmar,,['Fire'],495,65,95,57,100,85,93
0127,https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir.png,Pinsir,,['Bug'],500,65,125,100,55,70,85
0127,https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir-mega.png,Pinsir,Mega Pinsir,"['Bug', 'Flying']",600,65,155,120,65,90,105
0128,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros.png,Tauros,,['Normal'],490,75,100,95,40,70,110
0128,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean-combat.png,Tauros,Combat Breed,['Fighting'],490,75,110,105,30,70,100
0128,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean-blaze.png,Tauros,Blaze Breed,"['Fighting', 'Fire']",490,75,110,105,30,70,100
0128,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros-paldean-aqua.png,Tauros,Aqua Breed,"['Fighting', 'Water']",490,75,110,105,30,70,100
0129,https://img.pokemondb.net/sprites/scarlet-violet/icon/magikarp.png,Magikarp,,['Water'],200,20,10,55,15,20,80
0130,https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados.png,Gyarados,,"['Water', 'Flying']",540,95,125,79,60,100,81
0130,https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados-mega.png,Gyarados,Mega Gyarados,"['Water', 'Dark']",640,95,155,109,70,130,81
0131,https://img.pokemondb.net/sprites/scarlet-violet/icon/lapras.png,Lapras,,"['Water', 'Ice']",535,130,85,80,85,95,60
0132,https://img.pokemondb.net/sprites/scarlet-violet/icon/ditto.png,Ditto,,['Normal'],288,48,48,48,48,48,48
0133,https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee.png,Eevee,,['Normal'],325,55,55,50,45,65,55
0133,https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee-lets-go.png,Eevee,Partner Eevee,['Normal'],435,65,75,70,65,85,75
0134,https://img.pokemondb.net/sprites/scarlet-violet/icon/vaporeon.png,Vaporeon,,['Water'],525,130,65,60,110,95,65
0135,https://img.pokemondb.net/sprites/scarlet-violet/icon/jolteon.png,Jolteon,,['Electric'],525,65,65,60,110,95,130
0136,https://img.pokemondb.net/sprites/scarlet-violet/icon/flareon.png,Flareon,,['Fire'],525,65,130,60,95,110,65
0137,https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon.png,Porygon,,['Normal'],395,65,60,70,85,75,40
0138,https://img.pokemondb.net/sprites/scarlet-violet/icon/omanyte.png,Omanyte,,"['Rock', 'Water']",355,35,40,100,90,55,35
0139,https://img.pokemondb.net/sprites/scarlet-violet/icon/omastar.png,Omastar,,"['Rock', 'Water']",495,70,60,125,115,70,55
0140,https://img.pokemondb.net/sprites/scarlet-violet/icon/kabuto.png,Kabuto,,"['Rock', 'Water']",355,30,80,90,55,45,55
0141,https://img.pokemondb.net/sprites/scarlet-violet/icon/kabutops.png,Kabutops,,"['Rock', 'Water']",495,60,115,105,65,70,80
0142,https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl.png,Aerodactyl,,"['Rock', 'Flying']",515,80,105,65,60,75,130
0142,https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl-mega.png,Aerodactyl,Mega Aerodactyl,"['Rock', 'Flying']",615,80,135,85,70,95,150
0143,https://img.pokemondb.net/sprites/scarlet-violet/icon/snorlax.png,Snorlax,,['Normal'],540,160,110,65,65,110,30
0144,https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno.png,Articuno,,"['Ice', 'Flying']",580,90,85,100,95,125,85
0144,https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno-galarian.png,Articuno,Galarian Articuno,"['Psychic', 'Flying']",580,90,85,85,125,100,95
0145,https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos.png,Zapdos,,"['Electric', 'Flying']",580,90,90,85,125,90,100
0145,https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos-galarian.png,Zapdos,Galarian Zapdos,"['Fighting', 'Flying']",580,90,125,90,85,90,100
0146,https://img.pokemondb.net/sprites/scarlet-violet/icon/moltres.png,Moltres,,"['Fire', 'Flying']",580,90,100,90,125,85,90
0146,https://img.pokemondb.net/sprites/scarlet-violet/icon/moltres-galarian.png,Moltres,Galarian Moltres,"['Dark', 'Flying']",580,90,85,90,100,125,90
